time, ax, ay, az, gx, gy, gz, mx, my, mz
   489524840,   -0.01074,    -0.01270,    +1.03027,   -0.01171,    -0.00958,    -0.00958,  -36.21094,   -59.02383,   -33.52500
   489535424,   -0.01074,    -0.01025,    +1.03467,   -0.01596,    -0.01171,    -0.00639,  -36.21094,   -59.02383,   -33.52500
   489546037,   -0.01855,    -0.01562,    +1.02393,   -0.01171,    -0.00958,    -0.01277,  -36.21094,   -59.02383,   -33.52500
   489556636,   -0.01758,    -0.01172,    +1.03564,   -0.01383,    -0.00958,    -0.01277,  -36.21094,   -59.02383,   -33.52500
   489567591,   -0.01660,    -0.01074,    +1.03760,   -0.01916,    -0.01064,    -0.00639,  -36.21094,   -59.02383,   -33.52500
   489578513,   -0.00732,    -0.01172,    +1.01855,   -0.01171,    -0.01171,    -0.00958,  -36.21094,   -59.02383,   -33.52500
   489589490,   -0.01465,    -0.01123,    +1.02148,   -0.01490,    -0.01383,    -0.01171,  -36.21094,   -59.02383,   -33.52500
   489600395,   -0.00879,    -0.01270,    +1.03955,   -0.01596,    -0.00745,    -0.01490,  -36.21094,   -59.02383,   -33.52500
   489611306,   -0.01562,    -0.00879,    +1.01416,   -0.01703,    -0.01277,    -0.00958,  -36.21094,   -59.02383,   -33.52500
   489622245,   -0.01514,    -0.01172,    +1.03027,   -0.01490,    -0.01064,    -0.01171,  -36.21094,   -59.02383,   -33.52500
   489633151,   -0.01904,    -0.01123,    +1.02295,   -0.01064,    -0.00958,    -0.00958,  -36.21094,   -59.02383,   -33.52500
   489644122,   -0.02051,    -0.01270,    +1.02539,   -0.01064,    -0.00745,    -0.00958,  -36.21094,   -59.02383,   -33.52500
   489655039,   -0.00879,    -0.01660,    +1.03516,   -0.01277,    -0.00745,    -0.01064,  -36.21094,   -59.02383,   -33.52500
   489665984,   -0.02100,    -0.01025,    +1.03516,   -0.01703,    -0.01383,    -0.01171,  -36.21094,   -59.02383,   -33.52500
   489676954,   -0.01562,    -0.01318,    +1.03711,   -0.01383,    -0.00745,    -0.01277,  -36.21094,   -59.02383,   -33.52500
   489687862,   -0.01758,    -0.00732,    +1.03320,   -0.01490,    -0.01171,    -0.00745,  -36.21094,   -59.02383,   -33.52500
   489698840,   -0.01514,    -0.01172,    +1.02393,   -0.01703,    -0.01064,    -0.01277,  -36.21094,   -59.02383,   -33.52500
   489709802,   -0.01172,    -0.01514,    +1.01318,   -0.00958,    -0.00958,    -0.00639,  -36.21094,   -59.02383,   -33.52500
   489720730,   -0.01465,    -0.01318,    +1.02441,   -0.01490,    -0.00745,    -0.01064,  -36.21094,   -59.02383,   -33.52500
   489731714,   -0.00928,    -0.00049,    +1.02393,   -0.01277,    -0.01171,    -0.00745,  -36.21094,   -59.02383,   -33.52500
   489742621,   -0.02490,    -0.00537,    +1.02637,   -0.01596,    -0.00851,    -0.01064,  -36.21094,   -59.02383,   -33.52500
   489753534,   -0.00781,    -0.01318,    +1.02783,   -0.01383,    -0.01171,    -0.01490,  -36.21094,   -59.02383,   -33.52500
   489764521,   -0.01367,    -0.01611,    +1.03662,   -0.01596,    -0.01277,    -0.01277,  -36.21094,   -59.02383,   -33.52500
   489775457,   -0.01221,    -0.01318,    +1.02686,   -0.01490,    -0.00851,    -0.01171,  -36.21094,   -59.02383,   -33.52500
   489786468,   -0.01562,    -0.01221,    +1.03906,   -0.01277,    -0.01064,    -0.00851,  -36.02988,   -59.56699,   -32.30273
   489797432,   -0.01562,    -0.00781,    +1.02393,   -0.01596,    -0.01171,    -0.01277,  -36.02988,   -59.56699,   -32.30273
   489808341,   -0.00732,    -0.02002,    +1.02490,   -0.00958,    -0.01277,    -0.00958,  -36.02988,   -59.56699,   -32.30273
   489819339,   -0.02295,    -0.01611,    +1.02881,   -0.01490,    -0.01171,    -0.01064,  -36.02988,   -59.56699,   -32.30273
   489830303,   -0.01367,    -0.01562,    +1.03223,   -0.01383,    -0.01064,    -0.00958,  -36.02988,   -59.56699,   -32.30273
   489841223,   -0.01611,    -0.01270,    +1.04297,   -0.01916,    -0.00958,    -0.01171,  -36.02988,   -59.56699,   -32.30273
   489852188,   -0.01367,    -0.01123,    +1.01758,   -0.01277,    -0.01064,    -0.01383,  -36.02988,   -59.56699,   -32.30273
   489863115,   -0.01562,    -0.01123,    +1.03516,   -0.01383,    -0.00958,    -0.01064,  -36.02988,   -59.56699,   -32.30273
   489874127,   -0.00732,    -0.01270,    +1.03027,   -0.01171,    -0.00851,    -0.00958,  -36.02988,   -59.56699,   -32.30273
